trade_date,prev_trade_date,ts_code,industry,name,close,pct_chg,amount_x,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit,pre_close,price,amount_y,turnover_rate,auction_pct,auction_amount_yi,circ_mv_yi,prev_5d,prev_10d,high20,high60,prev_auction_pct,prev_auction_price,pct_rank,turn_rank,amt_rank,pct_pool_size,turn_pool_size,amt_pool_size,pct_rank_ratio,turn_rank_ratio,amt_rank_ratio,auction_new20,auction_new60,auction_price_ratio,daily_close,daily_open,daily_pct_chg,close_vs_auction_pct
20260410,20260409,603306.SH,汽车零部件,华懋科技,97.06,10.0,2059489184.0,,31980769655.7,31980769946.88,6.66,20372894.0,132356,132356,0,2/2,2,U,97.06,98.0,24402000.0,0.0755702,0.9684731094168564,0.24402,319.80769656,18.88780009799118,24.53169104439312,97.06,97.06,1.0879419764279419,89.2,23.0,45.0,32.0,50,50,50,0.46,0.9,0.64,True,True,1.0986547085201794,101.8,98.0,4.8836,3.8775510204081605
20260410,20260409,603757.SH,通用设备,大元泵业,54.16,9.99,1495413248.0,,10103399547.44,10103399547.44,15.62,33118840.0,132253,133335,2,2/2,2,U,54.16,53.0,22079800.0,0.223321,-2.1418020679468186,0.220798,101.03399547,28.983091212193358,22.756119673617413,54.16,54.16,-0.7311129163281915,48.88,47.0,29.0,34.0,50,50,50,0.94,0.58,0.68,False,False,1.0842880523731586,55.11,53.0,1.7541,3.9811320754716975
20260410,20260409,603777.SH,休闲食品,来伊份,15.43,9.98,136742234.0,,5160164881.38,5160164788.8,2.65,134012605.0,92502,92502,0,2/2,2,U,15.43,16.67,69290522.0,1.24291,8.036292935839295,0.69290522,51.60164881,16.36500754147814,11.167146974063403,15.43,15.43,9.978617248752686,15.43,5.0,2.0,9.0,50,50,50,0.1,0.04,0.18,True,True,1.080362929358393,16.97,16.67,9.9806,1.7996400719855858
20260410,20260409,603950.SH,汽车零部件,长源东谷,44.88,10.0,33538824.0,,14523473184.0,14546990304.0,0.23,399593568.0,92503,92503,0,2/2,2,U,44.88,49.37,142620056.0,0.892688,10.004456327985721,1.42620056,145.23473184,2.418986764034692,-7.463917525773189,57.43,57.43,10.000000000000009,44.88,3.0,4.0,3.0,50,50,50,0.06,0.08,0.06,False,False,1.1000445632798572,49.37,49.37,10.0045,0.0
20260410,20260409,605318.SH,装修建材,法狮龙,93.17,10.0,708398192.0,,11714173538.76,11714173538.76,6.18,4546696.0,101623,144902,30,2/2,2,U,93.17,93.17,14692909.0,0.125428,0.0,0.14692909,117.14173539,22.915567282321913,30.948699929725933,93.17,93.17,2.7272727272727337,87.01,29.0,41.0,41.0,50,50,50,0.58,0.82,0.82,True,True,1.070796460176991,90.9,93.17,-2.4364,-2.4364065686379694
20260410,20260409,600743.SH,一般零售,华远控股,2.41,10.05,425000368.0,,5654103106.34,5654103120.8,8.04,36991412.0,130755,130904,1,3/3,3,U,2.41,2.59,42239533.0,0.695141,7.468879668049788,0.42239533,56.541031059999995,26.84210526315791,24.226804123711343,2.41,2.41,0.4566210045662267,2.2,8.0,11.0,20.0,50,50,50,0.16,0.22,0.4,True,True,1.177272727272727,2.65,2.59,9.9585,2.316602316602319
20260413,20260410,000402.SZ,房地产开发,金融街,2.78,9.88,173696280.0,,8308494738.16,8309225133.12,2.1,20568636.0,93106,93215,1,1/1,1,U,2.78,2.78,10326588.0,0.12429,0.0,0.10326588,83.08494738,10.756972111553797,8.59375,2.85,2.98,3.9525691699604737,2.63,25.0,41.0,38.0,55,55,55,0.45454545454545453,0.7454545454545455,0.6909090909090909,False,False,1.0570342205323193,3.06,2.78,10.0719,10.071942446043176
20260413,20260410,000534.SZ,生物制品,万泽股份,45.68,9.99,990386816.0,,22838648602.88,23276176028.16,4.42,105011970.0,94457,94457,0,2/3,1,U,45.68,44.86,18150356.0,0.0809248,-1.795096322241685,0.18150356,228.38648603,19.051342194422727,13.013359722909446,45.68,49.14,5.947507825668197,44.0,45.0,47.0,29.0,55,55,55,0.8181818181818182,0.8545454545454545,0.5272727272727272,False,False,1.0195454545454545,45.98,44.86,0.6567,2.496656263932228
20260413,20260410,000626.SZ,物流,远大控股,8.61,9.96,83226843.0,,4336999245.81,4362057299.04,1.92,32381349.0,92500,92500,0,1/1,1,U,8.61,8.33,17950317.0,0.4278,-3.2520325203251987,0.17950317,43.369992460000006,6.427688504326334,6.165228113440202,8.97,9.03,9.961685823754785,8.61,54.0,19.0,30.0,55,55,55,0.9818181818181818,0.34545454545454546,0.5454545454545454,False,False,0.967479674796748,8.67,8.33,0.6969,4.081632653061223
20260413,20260410,000659.SZ,包装印刷,珠海中富,4.3,9.97,274092240.0,,5528520836.0,5528520870.4,5.15,37328730.0,110457,110457,0,1/1,1,U,4.3,4.48,7016356.48,0.121813,4.186046511627928,0.07016356480000001,55.28520836,-5.077262693156737,13.456464379947231,4.78,5.08,0.0,3.91,5.0,42.0,47.0,55,55,55,0.09090909090909091,0.7636363636363637,0.8545454545454545,False,False,1.1457800511508953,4.3,4.48,0.0,-4.017857142857156
